INTERSECTION,CAMERA_INSTALL_YEAR,LATITUDE,LONGITUDE,X,Y,CAMERA_FACING,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL_VIOLATIONS,HIGHEST_MONTHLY_TOTAL,FID
WALKEY @ HAWTHORNE  / RUSSELL ,2008,45.39294866,-75.60758145,374674.7381,5028499.542,Eastbound,41,39,42,53,52,41,46,58,54,69,44,57,596,69,1
ST LAURENT @ BELFAST,2008,45.41183341,-75.63045981,372860.726,5030578.562,Southbound,33,24,29,30,44,31,47,41,28,27,19,24,377,47,2
CAMPEAU @ HWY 417 WB,2008,45.32259424,-75.8871873,352841.6241,5020476.478,Northbound,31,34,36,34,31,44,42,32,43,42,45,35,449,45,3
CATHERINE @ KENT,2008,45.40878852,-75.69378269,367907.7071,5030188.565,Westbound,20,12,21,21,33,36,33,56,37,35,0,0,304,56,4
BASELINE @ MERIVALE,2008,45.36528328,-75.73082093,365054.6989,5025325.524,Westbound,14,13,18,27,19,25,33,38,46,49,36,32,350,49,5
BANK @ HUNT CLUB,2008,45.35363104,-75.64733066,371608.731,5024096.514,Eastbound,23,7,13,7,3,15,21,51,46,60,42,33,321,60,6
CATHERINE & O'CONNOR @ HWY 417 WB,2008,45.41059369,-75.68946437,368243.7079,5030392.567,Westbound,31,28,35,58,88,104,96,117,115,57,0,0,729,117,7
BOOTH @ WELLINGTON (RR40),2009,45.41629602,-75.71467416,366264.257,5031006.688,Eastbound,7,3,16,19,24,27,16,16,13,19,24,18,202,27,8
TENTH LINE  / CHARLEMAGNE @ TOMPKINS ,2008,45.47732608,-75.4974114,383183.9299,5037977.882,Southbound,20,28,26,33,35,45,36,45,25,41,33,34,401,45,9
BANK @ RIVERSIDE N. (RR19),2008,45.38882841,-75.67723452,369225.7159,5027983.546,Westbound,5,5,2,0,37,76,68,64,39,34,22,28,380,76,10
CARLING @ ISLAND PARK ,2008,45.38919155,-75.72662713,365357.6989,5027985.547,Eastbound,2,5,2,1,1,0,0,0,0,0,0,0,11,5,11
KING EDWARD @ ST. PATRICK,2011,45.43246674,-75.68908746,368248.7041,5032823.589,Southbound,138,192,113,104,245,287,565,589,470,495,418,381,3997,589,12
BRONSON @ COMMISSIONER / SLATER ,2010,45.41572863,-75.70823681,366768.7019,5030948.573,Southbound,7,6,1,0,0,0,0,0,0,0,0,0,14,7,13
ALBERT @ BOOTH,2010,45.41291758,-75.71265182,366426.212,5030632.794,Eastbound,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
BANK @ HERON,2010,45.37857171,-75.66755153,369995.72,5026851.536,Northbound,33,19,31,17,32,33,21,51,46,73,62,51,469,73,15
CYRVILLE @ INNES,2010,45.41648492,-75.60244499,375047.734,5031119.561,Westbound,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
DUFORD / PLACE D'ORLEANS @ ST JOSEPH,2010,45.47762664,-75.51259116,381996.7441,5037996.587,Westbound,27,41,51,51,96,86,82,80,70,46,43,43,716,96,17
