INTERSECTION,CAMERA_INSTALL_YEAR,LATITUDE,LONGITUDE,X,Y,CAMERA_FACING,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL_VIOLATIONS,HIGHEST_MONTHLY_TOTAL,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,FID,ObjectId
WALKEY @ HAWTHORNE  / RUSSELL ,2008,45.39294866,-75.60758145,374674.7381,5028499.542,Eastbound,36,31,45,66,71,62,88,51,72,65,47,44,678,88,,,,,,,,,,,,1,1
ST LAURENT @ BELFAST,2008,45.41183341,-75.63045981,372860.726,5030578.562,Southbound,19,30,26,27,50,38,41,28,35,24,14,34,366,50,,,,,,,,,,,,2,2
CAMPEAU @ HWY 417 WB,2008,45.32259424,-75.8871873,352841.6241,5020476.478,Northbound,39,40,32,45,36,43,35,47,44,46,49,40,496,49,,,,,,,,,,,,3,3
CATHERINE @ KENT,2008,45.40878852,-75.69378269,367907.7071,5030188.565,Westbound,0,0,0,0,0,0,0,0,0,0,0,13,13,13,,,,,,,,,,,,4,4
BASELINE @ MERIVALE,2008,45.36528328,-75.73082093,365054.6989,5025325.524,Westbound,36,21,23,33,30,38,29,42,34,31,29,29,375,42,,,,,,,,,,,,5,5
BANK @ HUNT CLUB,2008,45.35363104,-75.64733066,371608.731,5024096.514,Eastbound,27,27,39,34,51,56,56,70,48,54,43,43,548,70,,,,,,,,,,,,6,6
CATHERINE & O'CONNOR @ HWY 417 WB,2008,45.41059369,-75.68946437,368243.7079,5030392.567,Westbound,0,0,0,0,8,26,177,129,152,131,96,95,814,177,,,,,,,,,,,,7,7
BOOTH @ WELLINGTON (RR40),2009,45.41629602,-75.71467416,366264.257,5031006.688,Eastbound,15,16,19,17,19,23,21,41,40,36,37,55,339,55,,,,,,,,,,,,8,8
TENTH LINE  / CHARLEMAGNE @ TOMPKINS ,2008,45.47732608,-75.4974114,383183.9299,5037977.882,Southbound,28,24,22,26,28,32,35,30,25,24,20,29,323,35,,,,,,,,,,,,9,9
BANK @ RIVERSIDE N. (RR19),2008,45.38882841,-75.67723452,369225.7159,5027983.546,Westbound,15,15,6,11,18,0,0,0,0,0,0,0,65,18,,,,,,,,,,,,10,10
CARLING @ ISLAND PARK ,2008,45.38919155,-75.72662713,365357.6989,5027985.547,Eastbound,20,46,72,64,122,96,161,83,124,114,92,59,1053,161,,,,,,,,,,,,11,11
KING EDWARD @ ST. PATRICK,2011,45.43246674,-75.68908746,368248.7041,5032823.589,Southbound,247,250,189,361,532,523,548,478,452,484,376,334,4774,548,,,,,,,,,,,,12,12
BRONSON @ COMMISSIONER / SLATER ,2010,45.41572863,-75.70823681,366768.7019,5030948.573,Southbound,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,13,13
ALBERT @ BOOTH,2010,45.41291758,-75.71265182,366426.212,5030632.794,Eastbound,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,14,14
BANK @ HERON,2010,45.37857171,-75.66755153,369995.72,5026851.536,Northbound,32,42,61,44,64,47,55,61,55,44,36,34,575,64,,,,,,,,,,,,15,15
CYRVILLE @ INNES,2010,45.41648492,-75.60244499,375047.734,5031119.561,Westbound,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,16,16
