INTERSECTION,CAMERA_INSTALL_YEAR,LATITUDE,LONGITUDE,X,Y,CAMERA_FACING,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL_VIOLATIONS,HIGHEST_MONTHLY_TOTAL,ObjectId
WALKEY @ HAWTHORNE  / RUSSELL ,2008,45.39294866,-75.60758145,374674.7381,5028499.542,Eastbound,37,52,52,49,47,0,0,48,63,73,15,50,550,73,1
ST LAURENT @ BELFAST,2008,45.41183341,-75.63045981,372860.726,5030578.562,Southbound,19,14,19,26,24,23,29,21,18,12,2,11,218,29,2
CAMPEAU @ HWY 417 WB,2008,45.32259424,-75.8871873,352841.6241,5020476.478,Northbound,25,34,33,38,36,40,34,38,46,57,11,40,432,57,3
CATHERINE @ KENT,2008,45.40878852,-75.69378269,367907.7071,5030188.565,Westbound,60,97,108,96,131,78,97,81,80,84,22,41,975,131,4
BASELINE @ MERIVALE,2008,45.36528328,-75.73082093,365054.6989,5025325.524,Westbound,23,22,26,41,31,27,38,23,46,24,14,35,350,46,5
BANK @ HUNT CLUB,2008,45.35363104,-75.64733066,371608.731,5024096.514,Eastbound,26,20,24,38,46,43,41,23,43,43,15,31,393,46,6
CATHERINE & O'CONNOR @ HWY 417 WB,2008,45.41059369,-75.68946437,368243.7079,5030392.567,Westbound,21,66,108,142,192,139,120,106,127,125,36,66,1248,192,7
BOOTH @ WELLINGTON (RR40),2009,45.41629602,-75.71467416,366264.257,5031006.688,Eastbound,29,40,40,36,46,37,2,N/A,N/A,N/A,N/A,N/A,230,46,8
TENTH LINE  / CHARLEMAGNE @ TOMPKINS ,2008,45.47732608,-75.4974114,383183.9299,5037977.882,Southbound,24,12,18,21,23,25,31,23,29,23,2,22,253,31,9
BANK @ RIVERSIDE N. (RR19),2008,45.38882841,-75.67723452,369225.7159,5027983.546,Westbound,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,0,0,10
CARLING @ ISLAND PARK ,2008,45.38919155,-75.72662713,365357.6989,5027985.547,Eastbound,63,96,90,96,134,87,109,111,129,137,31,75,1158,137,11
KING EDWARD @ ST. PATRICK,2011,45.43246674,-75.68908746,368248.7041,5032823.589,Southbound,330,293,361,362,391,328,385,174,194,143,16,26,3003,391,12
BRONSON @ COMMISSIONER / SLATER ,2010,45.41572863,-75.70823681,366768.7019,5030948.573,Southbound,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,0,0,13
ALBERT @ BOOTH,2010,45.41291758,-75.71265182,366426.212,5030632.794,Eastbound,12,19,32,30,35,35,42,38,N/A,37,5,11,296,42,14
BANK @ HERON,2010,45.37857171,-75.66755153,369995.72,5026851.536,Northbound,18,5,19,22,38,38,17,16,22,27,6,19,247,38,15
