Intersection,All_Motorized_Vehicles_AADT_24Hour_Volume,Percent_Trucks,Pedestrians_Not_Factored,Bicycles_Not_Factored,Date_Collected,X,Y,LAT,LONG,FID
LAFONTAINE AVE @ MCARTHUR AVE,15299,0.0294,1083,48,1.55297E+12,370949.7123,5032771.574,45.43174845,-75.65457764,1
LAPERRIERE AVE @ LARKIN ST,8972,0.0477,141,14,1.55124E+12,364233.7,5026779.535,45.37843635,-75.74112547,2
LARMOURS RD @ SARSFIELD RD,346,0.128,1,0,1.57423E+12,395471.8493,5033500.504,45.43555713,-75.34109551,3
LARRY ROBINSON RD @ MARVELVILLE RD,1466,0.1056,0,2,1.57405E+12,392846.8301,5008668.357,45.21247822,-75.3790553,4
LASER ST @ GURDWARA RD,4379,0.0416,28,0,1.57535E+12,367233.7044,5022163.5,45.33664132,-75.70340681,5
LAURIER AVE @ 135M E OF ELGIN ST,23149,0.0329,6456,2276,1.55962E+12,368075.783,5031624.523,45.42169362,-75.69145132,6
LAURIER AVE @ 89 E OF WALLER ST,9724,0.0886,4282,55,1.54701E+12,368515.9456,5031898.591,45.42411964,-75.68579197,7
LAURIER AVE @ NELSON ST,9436,0.0297,5015,40,1.54701E+12,368877.7181,5032117.581,45.42605698,-75.68114097,8
LAURIER AVE @ NICHOLAS ST,43880,0.1306,3527,1259,1.55962E+12,368373.637,5031798.27,45.42322993,-75.68762325,9
LAURIER AVE @ NICHOLAS ST,42432,0.1237,2250,49,1.55133E+12,368373.637,5031798.27,45.42322993,-75.68762325,10
LAURIER AVE @ PERCY ST,3881,0.0202,1679,1251,1.56938E+12,366903.6974,5030919.575,45.41545574,-75.70651582,11
LAURIER AVE @ QUEEN ELIZABETH DRWY/LAURIER AVE,25163,0.0352,36,773,1.56878E+12,368075.783,5031624.523,45.42169362,-75.69145132,12
LAURIER AVE @ RANGE RD,9804,0.0274,414,22,1.57362E+12,369390.7058,5032432.581,45.42884405,-75.67454479,13
LAURIER AVE @ SWEETLAND AVE,8354,0.0286,1535,25,1.54701E+12,368956.7122,5032167.585,45.42649967,-75.68012508,14
LAVERENDRYE DR @ QUINCY AVE,1019,0.082,59,95,1.56705E+12,374578.7252,5036038.599,45.4607906,-75.60773944,15
LAVERENDRYE DR @ QUINCY AVE,1137,0.0965,89,39,1.55608E+12,374578.7252,5036038.599,45.4607906,-75.60773944,16
LAWSON AVE @ FRANCES ST,1404,0.0402,156,7,1.57544E+12,371512.7178,5032232.582,45.42684536,-75.647456,17
LEBRETON ST @ ORANGEVILLE ST,2879,0.0152,49,42,1.56826E+12,366988.7045,5029610.559,45.40367004,-75.70559495,18
LEEDS AVE @ SHEFFIELD RD,10802,0.1943,30,7,1.57051E+12,374862.7396,5029550.553,45.40238635,-75.60503137,19
LEGGET DR @ TERRY FOX DR,13578,0.0213,140,4,1.55064E+12,350176.6178,5023444.493,45.34947847,-75.92090783,20
LEITRIM RD @ ALBION RD,29313,0.0534,53,26,1.561E+12,373497.5851,5020419.261,45.32036195,-75.6237368,21
LIMEBANK RD @ SPRATT RD,23615,0.0374,231,2,1.57665E+12,369769.189,5016875.142,45.2888276,-75.67175326,22
LEITRIM RD S @ RAMSAYVILLE RD,9549,0.0315,0,3,1.55366E+12,378785.7671,5023729.505,45.3496084,-75.55579808,23
LENESTER AVE @ MAITLAND AVE,24226,0.0175,33,21,1.57189E+12,363078.6879,5026146.524,45.37283762,-75.75594659,24
LIMEBANK RD/RIVERSIDE DR @ RIVER RD,30832,0.0204,2,4,1.57665E+12,368403.997,5020477.312,45.32136423,-75.68869314,25
LISGAR ST @ METCALFE ST,14491,0.0258,5255,31,1.55124E+12,367915.7084,5031251.587,45.41835253,-75.69354435,26
LLOYDALEX CRES @ ECHO POND WAY,742,0.0574,10,0,1.57492E+12,348445.5018,5014850.414,45.27225615,-75.94375607,27
LOGAN FARM DR @ OSGOODE MAIN ST,3538,0.0352,33,0,1.57371E+12,375429.7208,5001315.337,45.14827799,-75.60180675,28
LOLA ST @ KING GEORGE ST,4221,0.0245,218,41,1.57172E+12,371122.7208,5032114.58,45.42582072,-75.65245524,29
LOLA ST @ QUEEN MARY ST,7546,0.0316,443,35,1.57613E+12,371129.7236,5032044.584,45.42519026,-75.65237519,30
LONG ISLAND RD @ LENA AVE/CINDY HILL CRES W,2175,0.0309,26,12,1.57068E+12,367924.699,5011392.41,45.23966251,-75.69596175,31
LORRY GREENBERG DR @ 450 W OF CONROY RD/ROBERT,3117,0.066,156,2,1.57604E+12,373328.4702,5025528.054,45.36634552,-75.62518595,32
LORRY GREENBERG DR @ 45M S OF MARGRAVE AVE,5288,0.039,220,31,1.57068E+12,372598.217,5025249.699,45.363912,-75.63454527,33
LUNDY'S LANE @ PERTH ST,15158,0.0589,23,1,1.57613E+12,357237.9212,5006705.717,45.19836753,-75.83256581,34
LYNCH ST @ BRADDISH ST,30,0,0,1,1.56334E+12,374783.7455,5022514.494,45.339087,-75.60703713,35
LYNHAR RD @ EATON ST,1403,0.0386,42,7,1.55668E+12,358239.6631,5020905.488,45.32606433,-75.81828897,36
LYON ST @ MACLAREN ST,10640,0.0149,1001,117,1.57466E+12,367409.707,5030646.569,45.41295422,-75.70008597,37
LYON ST @ NEPEAN ST,13299,0.0167,1820,133,1.57466E+12,367234.6942,5030934.576,45.41556127,-75.70228526,38
LYON ST @ SLATER ST,22020,0.0925,5740,46,1.55193E+12,367102.7046,5031152.587,45.41753463,-75.70394394,39
LYON ST @ SLATER ST,29277,0.0332,7727,166,1.57535E+12,367102.7046,5031152.587,45.41753463,-75.70394394,40
LYON ST @ WELLINGTON ST,25670,0.0678,3011,730,1.56714E+12,366935.271,5031426.166,45.4200111,-75.70604857,41
LYON ST @ WELLINGTON ST,27918,0.0697,3678,981,1.56748E+12,366935.271,5031426.166,45.4200111,-75.70604857,42
LYON ST @ WELLINGTON ST,29700,0.0659,3442,933,1.56757E+12,366935.271,5031426.166,45.4200111,-75.70604857,43
LYON ST @ WELLINGTON ST,26595,0.0688,2993,652,1.56999E+12,366935.271,5031426.166,45.4200111,-75.70604857,44
MACFARLANE AVE @ SHERWOOD DR,2957,0.0135,303,53,1.57466E+12,365529.7006,5028806.551,45.39656387,-75.72432967,45
MACHARDY RD @ GALETTA SIDE RD,2366,0.0464,0,0,1.55426E+12,322941.5014,5030752.649,45.4164746,-76.26820627,46
MACKAY ST @ SUSSEX DR,18741,0.0048,70,62,1.5731E+12,367922.7,5034089.602,45.44388737,-75.69309122,47
MACKENZIE AVE @ RIDEAU ST,31745,0.0976,3840,54,1.55193E+12,367869.6992,5032009.58,45.42517685,-75.69403513,48
CLEROUX CRES W @ INNES RD,8447,0.0423,141,1,1.54761E+12,379015.7449,5033439.565,45.43694911,-75.55140295,49
MACKENZIE KING BR/WALLER ST @ NICHOLAS ST/WALL,22575,0.2348,8895,42,1.54701E+12,368372.1456,5031992.639,45.42497893,-75.68761723,50
MACLAREN ST @ O'CONNOR ST,14068,0.0268,2142,166,1.55314E+12,367899.7149,5030940.577,45.41555561,-75.69378851,51
MADELEINE MEILLEUR PRIV @ VANIER PKWY,31586,0.0151,125,7,1.55357E+12,369654.82,5033359.31,45.43715795,-75.67104775,52
